"","Missing","Sex","Race","Vehicle.Type","Vehicle.Color"
"1","1","Male","White","Station Wagon","Brown"
"2","1","Female","Am. Ind.","Sport Utility","Maroon"
"3","1","Female","White","Van","Gray"
"4","1","Male","Hispanic","Van","Red"
"5","1","Female","Black","Sedan, 4 door","Silver"
"6","1","Female","White","Van","White"
"7","1","Female","Black","Sedan, 4 door","Gray"
"8","1","Female","Black","Crossover","Green"
"9","1","Male","White","Sport Utility","Black"
"10","1","Male","Black","Sedan, 4 door","Maroon"
"11","1","Female","White","Sport Utility","Black"
"12","1","Female","White","Sedan, 4 door","Silver"
"13","1","Female","White","Truck","White"
"14","1","Female","Black","Sport Utility","Silver"
"15","1","Female","Black","Sedan, 4 door","White"
"16","1","Female","Hispanic","Sport Utility","Black"
"17","1","Male","Black","Sedan, 4 door","Dark"
"18","1","Male","Hispanic","Sport Utility","Black"
"19","1","Female","Am. Ind.","Van","Maroon"
"20","1","Female","White","Truck","Brown"
"21","1","Female","Hispanic","Sedan, 4 door","Black"
"22","1","Female","White","Pickup Truck","White"
"23","1","Female","Asian","Sedan, 2 door","Black"
"24","1","Female","Hispanic","Sedan, 4 door","Black"
"25","1","Female","Black","Sedan, 4 door","Silver"
"26","1","Female","White","Sedan, 4 door","Gold"
"27","1","Female","White","Sedan, 4 door","Tan"
"28","1","Female","White","Pickup Truck","Red"
"29","1","Female","Hispanic","Sport Utility","Unknown"
"30","1","Female","White","Pickup Truck","Black"
"31","1","Male","White","Sport Utility","Camouflage"
"32","1","Male","White","Sport Utility","Camouflage"
"33","1","Female","White","Sport Utility","Cream"
"34","1","Male","White","Sport Utility","Blue, Dark"
"35","1","Female","Black","Sedan, 2 door","Red"
"36","1","Female","White","Sedan, 4 door","Black"
"37","1","Female","White","Sedan, 4 door","Silver"
"38","0","Female","Unknown","Van","Burgundy"
"39","0","Female","Unknown","Truck","White"
"40","0","Female","Unknown","Truck","Black"
"41","0","Female","Unknown","Sport Utility","White"
"42","0","Male","Unknown","Sedan, 4 door","Red"
"43","0","Male","Unknown","Truck","White"
"44","0","Female","Unknown","Pickup Truck","White"
"45","0","Female","Unknown","Sedan, 4 door","Black"
"46","0","Male","Unknown","Pickup Truck","Dark"
"47","0","Female","Unknown","Sport Utility","Gold"
"48","0","Male","Unknown","Pickup Truck","Black"
"49","0","Male","Unknown","Van","Black"
"50","0","Male","Unknown","Sedan, 4 door","Silver"
"51","0","Female","Unknown","Van","Gray"
"52","0","Male","Unknown","Sedan, 4 door","White"
"53","0","Female","Unknown","Pickup Truck","Gray"
"54","0","Female","Unknown","Pickup Truck","Gray"
"55","0","Female","Unknown","Sedan, 4 door","Blue"
"56","0","Male","Unknown","Sedan, 4 door","Black"
"57","0","Female","Unknown","Sport Utility","White"
"58","0","Female","Unknown","Van","Red"
"59","0","Female","Unknown","Truck","Beige"
"60","0","Unknown","Unknown","Truck","Black"
"61","0","Female","Unknown","Sedan, 4 door","Silver"
"62","0","Unknown","Unknown","Van","White"
"63","0","Female","Unknown","Truck","Gray"
"64","0","Female","Unknown","Van","Gray"
"65","0","Male","Unknown","Pickup Truck","Black"
"66","0","Male","Unknown","Van","White"
"67","0","Female","Unknown","Van","White"
"68","0","Female","Unknown","Sport Utility","Tan"
"69","0","Female","Unknown","Sedan, 4 door","Green, Dark"
"70","0","Female","Unknown","Station Wagon","Black"
"71","0","Female","Unknown","Van","Beige"
"72","0","Female","Unknown","Sedan, 4 door","Red"
"73","0","Female","Unknown","Van","Green"
"74","0","Female","Unknown","Sedan, 4 door","Dark"
"75","0","Female","Unknown","Sedan, 2 door","Blue"
"76","0","Male","Unknown","Van","White"
"77","0","Male","Unknown","Truck","Blue, Dark"
"78","0","Female","Unknown","Van","Green"
"79","0","Female","Unknown","Van","Black"
"80","0","Male","Unknown","Van","White"
"81","0","Unknown","Unknown","Van","White"
"82","0","Female","Black","Van","Blue"
"83","0","Unknown","Unknown","Pickup Truck","White"
"84","0","Unknown","Unknown","Sedan, 4 door","Gray"
"85","0","Female","Unknown","Truck","Black"
"86","0","Female","Unknown","Sedan, 4 door","Black"
"87","0","Male","Unknown","Sedan, 4 door","Blue"
"88","0","Female","Unknown","Van","White"
"89","0","Male","Unknown","Truck","white"
"90","0","Unknown","Unknown","Van","Dark"
"91","0","Female","Unknown","Sedan, 4 door","Tan"
"92","0","Female","Unknown","Sedan, 4 door","Gray"
"93","0","Female","Unknown","Van","White"
"94","0","Male","Unknown","Sedan, 4 door","Blue, Dark"
"95","0","Female","Unknown","Truck","Red"
"96","0","Male","Unknown","Van","White"
"97","0","Female","Unknown","Truck","White"
"98","0","Unknown","Unknown","Pickup Truck","Blue"
"99","0","Female","Unknown","Pickup Truck","White"
"100","0","Female","Unknown","Van","Silver"
"101","0","Female","Unknown","Sport Utility","White"
"102","0","Female","Unknown","Pickup Truck","Brown"
"103","0","Male","Unknown","Van","Black"
"104","0","Female","Unknown","Sedan, 4 door","Green"
"105","0","Unknown","Unknown","Sport Utility","Black"
"106","0","Unknown","Unknown","Pickup Truck","Gray"
"107","0","Female","Unknown","Pickup Truck","Red"
"108","0","Female","Unknown","Pickup Truck","Black"
"109","0","Unknown","Unknown","Sedan, 4 door","White"
"110","0","Female","Unknown","Sport Utility","Gray"
"111","0","Unknown","Unknown","Sedan, 4 door","White"
"112","0","Unknown","Unknown","Van","Blue, Dark"
"113","0","Female","Unknown","Van","Green"
"114","0","Male","Unknown","Pickup Truck","White"
"115","0","Female","Unknown","Sedan, 4 door","Blue"
"116","0","Unknown","Unknown","Sedan, 4 door","Blue"
"117","0","Female","Unknown","Sedan, 4 door","Beige"
"118","0","Female","Unknown","Sedan, 4 door","Beige"
"119","0","Female","Unknown","Sedan, 4 door","Red"
"120","0","Male","Unknown","Pickup Truck","Dark"
"121","0","Female","Unknown","Pickup Truck","Blue, Dark"
"122","0","Male","Unknown","Van","Blue"
"123","0","Female","Unknown","Sedan, 4 door","Black"
"124","0","Male","Unknown","Van","Red"
"125","0","Female","Unknown","Van","Brown"
"126","0","Male","Unknown","Sport Utility","Black"
"127","0","Female","Unknown","Pickup Truck","Black"
"128","0","Unknown","Unknown","Truck","Black"
"129","0","Female","Unknown","Truck","Gray"
"130","0","Male","Unknown","Van","White"
"131","0","Female","Unknown","Sedan, 4 door","White"
"132","0","Male","Unknown","Sedan, 4 door","White"
"133","0","Unknown","Unknown","Van","Blue, Light"
"134","0","Male","Unknown","Van","White"
"135","0","Female","Unknown","Pickup Truck","Gray"
"136","0","Unknown","Unknown","Pickup Truck","White"
"137","0","Female","Unknown","Sedan, 4 door","Red"
"138","0","Female","Unknown","Pickup Truck","White"
"139","0","Unknown","Unknown","Pickup Truck","Dark"
"140","0","Male","White","Pickup Truck","Red"
"141","0","Male","Unknown","Van","Red"
"142","0","Female","Unknown","Sport Utility","Red"
"143","0","Male","Unknown","Van","Gray"
"144","0","Male","Unknown","Van","White"
"145","0","Male","Unknown","Pickup Truck","Red"
"146","0","Female","Unknown","Van","Silver"
"147","0","Male","Unknown","Van","White"
"148","0","Female","Unknown","Sedan, 4 door","Gray"
"149","0","Male","Unknown","Van","White"
"150","0","Female","Unknown","Van","Tan"
"151","0","Unknown","Unknown","Sedan, 2 door","Blue"
"152","0","Female","Unknown","Sport Utility","Black"
"153","0","Female","Unknown","Van","Green"
"154","0","Male","Unknown","Sport Utility","White"
"155","0","Unknown","Unknown","Sport Utility","White"
"156","0","Unknown","Unknown","Sedan, 4 door","Silver"
"157","0","Female","Unknown","Pickup Truck","Red"
"158","0","Female","Unknown","Pickup Truck","Gray"
"159","0","Female","Unknown","Pickup Truck","White"
"160","0","Female","Unknown","Van","Gold"
"161","0","Female","Unknown","Pickup Truck","White"
"162","0","Male","Unknown","Van","White"
"163","0","Male","Unknown","Pickup Truck","Red"
"164","0","Male","Unknown","Sedan, 4 door","Silver"
"165","0","Female","White","Sport Utility","Dark"
"166","0","Unknown","Unknown","Truck","Black"
"167","0","Unknown","Unknown","Truck","Black"
"168","0","Female","Unknown","Sedan, 4 door","Gray"
"169","0","Female","Unknown","Van","Black"
"170","0","Male","Unknown","Van","White"
"171","0","Unknown","Unknown","Sport Utility","Black"
"172","0","Female","Unknown","Van","White"
"173","0","Male","Unknown","Sedan, 4 door","Black"
"174","0","Female","White","Pickup Truck","Red"
"175","0","Unknown","White","Pickup Truck","Black"
"176","0","Unknown","Unknown","Van","White"
"177","0","Female","Unknown","Pickup Truck","Blue"
"178","0","Female","Unknown","Pickup Truck","Black"
"179","0","Female","Unknown","Van","Blue"
"180","0","Female","Unknown","Van","White"
"181","0","Unknown","Unknown","Sedan, 4 door","Silver"
"182","0","Female","Unknown","Sedan, 4 door","Dark"
"183","0","Female","Unknown","Pickup Truck","Dark"
"184","0","Female","Unknown","Sport Utility","Black"
"185","0","Female","Unknown","Pickup Truck","Black"
"186","0","Female","Unknown","Pickup Truck","Black"
"187","0","Female","Unknown","Pickup Truck","Black"
"188","0","Female","Unknown","Van","White"
"189","0","Female","Unknown","Van","White"
"190","0","Male","Unknown","Truck","Silver"
"191","0","Female","Unknown","Sport Utility","Blue"
"192","0","Female","Unknown","Pickup Truck","Gray"
"193","0","Female","Unknown","Pickup Truck","Gray"
"194","0","Female","Unknown","Van","White"
"195","0","Unknown","Unknown","Sedan, 4 door","Black"
"196","0","Female","Unknown","Van","Gold"
"197","0","Female","Unknown","Sport Utility","White"
"198","0","Male","Unknown","Sport Utility","Silver"
"199","0","Male","Unknown","Truck","Blue, Light"
"200","0","Unknown","Unknown","Van","Gray"
"201","0","Male","Unknown","Pickup Truck","Red"
"202","0","Female","Unknown","Sport Utility","Dark"
"203","0","Female","Unknown","Sport Utility","Blue"
"204","0","Female","Black","Sedan, 4 door","Red"
"205","0","Female","Hispanic","Sport Utility","Silver"
"206","0","Unknown","Unknown","Van","White"
"207","0","Unknown","Unknown","Sedan, 4 door","Blue, Light"
"208","0","Female","Unknown","Pickup Truck","Blue, Light"
"209","0","Male","Unknown","Van","White"
"210","0","Male","Unknown","Truck","Silver"
"211","0","Female","White","Pickup Truck","White"
"212","0","Unknown","Unknown","Truck","Black"
"213","0","Female","Unknown","Van","Green"
"214","0","Female","Unknown","Sport Utility","Silver"
"215","0","Female","Unknown","Sport Utility","Silver"
"216","0","Female","Unknown","Sedan, 4 door","White"
"217","0","Unknown","Unknown","Van","Blue"
"218","0","Female","Unknown","Sport Utility","Blue"
"219","0","Female","Unknown","Pickup Truck","Blue"
"220","0","Female","Unknown","Sedan, 4 door","White"
"221","0","Male","Unknown","Van","Purple"
"222","0","Female","Unknown","Sedan, 4 door","Red"
"223","0","Male","Unknown","Sedan, 2 door","Black"
"224","0","Male","Unknown","Sedan, 4 door","Silver"
"225","0","Male","Unknown","Van","White"
"226","0","Male","Unknown","Pickup Truck","White"
"227","0","Male","Unknown","Pickup Truck","Red"
"228","0","Female","Unknown","Sedan, 4 door","White"
"229","0","Female","Unknown","Sedan, 4 door","Black"
"230","0","Male","Unknown","Sport Utility","Gray"
"231","0","Unknown","Unknown","Pickup Truck","Red"
"232","0","Male","Unknown","Sedan, 4 door","White"
"233","0","Male","Unknown","Sedan, 4 door","Gray"
"234","0","Unknown","Unknown","Coupe","White"
"235","0","Male","Unknown","Van","White"
"236","0","Unknown","Unknown","Van","Blue"
"237","0","Female","Unknown","Sedan, 2 door","Gray"
"238","0","Unknown","Unknown","Sport Utility","Gold"
"239","0","Male","Unknown","Van","Dark"
"240","0","Female","Unknown","Sport Utility","Red"
"241","0","Female","Unknown","Sport Utility","Red"
"242","0","Male","Unknown","Sport Utility","Red"
"243","0","Female","Unknown","Sport Utility","Gold"
"244","0","Female","Unknown","Sedan, 4 door","White"
"245","0","Female","Unknown","Pickup Truck","Red"
"246","0","Female","Black","Sedan, 4 door","Black"
"247","0","Male","Unknown","Sedan, 4 door","Burgundy"
"248","0","Female","Unknown","Sedan, 4 door","Silver"
"249","0","Female","Unknown","Pickup Truck","White"
"250","0","Male","Unknown","Pickup Truck","Black"
"251","0","Female","Unknown","Pickup Truck","Red"
"252","0","Male","Unknown","Pickup Truck","Red"
"253","0","Unknown","Unknown","Sedan, 4 door","White"
"254","0","Female","Unknown","Truck","Silver"
"255","0","Female","Unknown","Sedan, 4 door","White"
"256","0","Female","Unknown","Sedan, 4 door","Beige"
"257","0","Female","Unknown","Van","White"
"258","0","Male","Unknown","Sport Utility","Black"
"259","0","Female","Black","Sport Utility","Gold"
"260","0","Female","Unknown","Sport Utility","White"
"261","0","Female","Unknown","Sport Utility","White"
"262","0","Unknown","Unknown","Pickup Truck","Dark"
"263","0","Female","Unknown","Sedan, 4 door","Black"
"264","0","Female","Unknown","Pickup Truck","Red"
"265","0","Male","Unknown","Pickup Truck","White"
